"","tool","population","sensitivity","specificity"
"140","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.421857097866463,0.825465453169497
"141","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.60322422767326,0.831270170903751
"142","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.501829889166661,0.828253148437823
"143","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.470206433370244,0.80499064452988
"144","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.431762625853535,0.835429715099354
"145","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.524076662972763,0.838197413938105
"146","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.473444360283107,0.860138164256018
"147","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.431959703937651,0.856602784968433
"148","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.593714302819183,0.840526029153365
"149","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.477091946415568,0.822306129983441
"150","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.667743815776904,0.829346249555262
"151","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.609979157939287,0.810977923399709
"152","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.553414036632488,0.843799272277916
"153","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.442047286912791,0.75247527262912
"154","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.595496517293118,0.816448667827075
"155","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.378093847440842,0.871832566825541
"156","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.483253914290495,0.812072276111962
"157","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.64996072185027,0.823407046907158
"158","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.32550216796212,0.884973134114814
"159","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.375093072729812,0.791995582599428
"160","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.45507572670771,0.770848101045939
"161","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.428216225173547,0.790773591453908
"162","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.436267287416505,0.82271210818991
"163","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.572120965693418,0.85661802929142
"164","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.534993009967759,0.891168947387506
"165","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.612285187338092,0.777411457105565
"166","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.35145335970195,0.839938865243801
"167","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.366725289569873,0.839566982249208
"168","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.492474990425172,0.817881301259976
"169","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.541165645165219,0.764634837345185
"170","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.462222575040852,0.77132691898686
"171","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.492805974559458,0.817290970043338
"172","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.50313919012212,0.82023816360106
"173","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.605402974310999,0.838755756069524
"174","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.518946323681631,0.841305340344847
"175","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.426489913220491,0.837497570726447
"176","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.567919916238361,0.857300610903108
"177","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.536139987658201,0.812113147313289
"178","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.736213302540043,0.793700244923908
"179","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.523255658622577,0.77703237802335
"180","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.482961964951229,0.827603438993791
"181","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.550949580553111,0.883808413596258
"182","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.435943680754848,0.872195764963286
"183","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.564678905812533,0.816590491044262
"184","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.424504340857322,0.829863168951352
"185","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.57720864371606,0.835824340247051
"186","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.565764571560556,0.775884225909243
"187","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.291272402170108,0.815721752556992
"188","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.488672539852652,0.763606922822363
"189","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.690648895265213,0.796936266267639
"190","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.76929402707497,0.810785781908246
"191","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.339670730739166,0.882075530774673
"192","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.491846464751923,0.830286264885501
"193","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.522172738734747,0.809634308868553
"194","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.407856857438904,0.78006666863124
"195","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.380853405786733,0.826316993112303
"196","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.446249480042499,0.811832524013432
"197","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.566999762888786,0.799139967347969
"198","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.645948754346785,0.79936580441156
"199","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.528392137442415,0.829238239659745
"200","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.458413897491318,0.806369849945457
"201","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.60053496930688,0.828239052060252
"202","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.665394048157001,0.771572165545562
"203","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.274895952862552,0.877158010249673
"204","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.587499855144532,0.820432559914363
"205","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.522716214359526,0.823345992471555
"206","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.383282036586231,0.837292881268329
"207","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.695935432317625,0.804243386658247
