"","tool","population","sensitivity","specificity"
"112","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.799881087095907,0.822538750572812
"113","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.75894514874471,0.818763504163318
"114","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.753156046002474,0.853928860588434
"115","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.787176749890318,0.798626503008499
"116","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.771049845940132,0.81180909102188
"117","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.807534394411531,0.829306995100913
"118","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.732700937127761,0.831153247093779
"119","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.775996672832794,0.851753036301226
"120","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.752324297007224,0.847062913472613
"121","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.748710572913933,0.849333018287333
"122","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.827078646937194,0.816126202829376
"123","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.755311702708232,0.823413848076191
"124","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.785680262879509,0.852451071306247
"125","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.811528499690526,0.841078171324573
"126","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.765558476970543,0.867178741274465
"127","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.788915984052254,0.825465453169497
"128","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.80401292691371,0.831270170903751
"129","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.732353750809852,0.828253148437823
"130","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.727982871691989,0.80499064452988
"131","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.818831569798764,0.835429715099354
"132","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.824550542879837,0.838197413938105
"133","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.843637187721765,0.860138164256018
"134","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.736832346554922,0.856602784968433
"135","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.699648407247694,0.840526029153365
"136","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.795035490855141,0.822306129983441
"137","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.741256392174477,0.829346249555262
"138","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.772490128221948,0.810977923399709
"139","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.781546825002212,0.843799272277916
"140","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.792298174220881,0.75247527262912
"141","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.765963785832562,0.816448667827075
"142","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.780629673526465,0.871832566825541
"143","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.79224360177575,0.812072276111962
"144","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.74437754408052,0.823407046907158
"145","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.779593930209878,0.884973134114814
"146","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.718553617171686,0.791995582599428
"147","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.739008813577595,0.770848101045939
"148","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.757111404254458,0.790773591453908
"149","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.78944377286058,0.82271210818991
"150","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.743796335068657,0.85661802929142
"151","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.807039440607966,0.891168947387506
"152","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.777837792621883,0.777411457105565
