"","d","p","lfc","comp","gene"
"121",-0.0426188602689834,0.758558292306734,0.0273150167999741,"LC v. H - CV","ABLIM3"
"122",-0.120448627476876,0.317045161136558,-0.107830991833939,"LC v. H - CV","ABO"
"123",-0.277541893667936,0.0998346958115695,-0.0642435091343577,"LC v. H - CV","ABR"
"124",0.903933242685024,3.31579617609477e-08,0.617620415528204,"LC v. H - CV","ABRA"
"125",0.120670252167886,0.231458439590906,0.198072198386258,"LC v. H - CV","ABRACL"
"126",0.0775737047993031,0.512321985767974,0.041731471298173,"LC v. H - CV","ABRAXAS1"
"127",-0.526456849686117,0.000646116905184515,-0.293550683525039,"LC v. H - CV","ABRAXAS2"
"128",-0.358523544726276,0.00415301316599797,-0.135236983291743,"LC v. H - CV","ABT1"
"129",-0.587219741053353,3.21357430282975e-05,-1.22455840593374,"LC v. H - CV","ABTB1"
"130",-0.143433809531271,0.25178945083171,0.180072072585933,"LC v. H - CV","ABTB2"
"131",-0.376100627060791,0.00190042125599345,-0.370646586873341,"LC v. H - CV","ACAA1"
"132",0.309376138437531,0.0429840035404049,-0.332918146225036,"LC v. H - CV","ACAA2"
"133",0.147125066255401,0.447126415924446,0.691259740255215,"LC v. H - CV","ACACA"
"134",-0.0684076608844192,0.501793595543436,0.0868367855984959,"LC v. H - CV","ACACB"
"135",-0.318926539810762,0.0283723442231145,-0.299848016311606,"LC v. H - CV","ACAD10"
"136",0.716198816839924,3.87068456956487e-06,1.36598277952433,"LC v. H - CV","ACAD11"
"137",-0.170365995135985,0.391805293715642,-4.89720801383644,"LC v. H - CV","ACAD8"
"138",-0.559927827814045,0.000658212134115284,-0.454751705771709,"LC v. H - CV","ACAD9"
"139",0.0698068500270839,0.870381320821214,0.0569699312456975,"LC v. H - CV","ACADL"
"140",-0.148948373718206,0.202744840172971,-0.0572724164971082,"LC v. H - CV","ACADM"
"141",-0.451160518659602,0.00264095893982097,-0.270531418792123,"LC v. H - CV","ACADS"
"142",-0.139646312831655,0.533719239249469,0.161873644050576,"LC v. H - CV","ACADSB"
"143",-0.44090079159754,0.000439420928726593,-0.107683647901293,"LC v. H - CV","ACADVL"
"144",-0.165297985933175,0.332582333018157,0.0557908113139077,"LC v. H - CV","ACAN"
"145",-0.807821711819341,6.16873174397261e-08,-0.207583169005328,"LC v. H - CV","ACAP1"
"146",-0.352355134384271,0.0208327833161352,-0.149843588408458,"LC v. H - CV","ACAP2"
"147",-0.392591859320058,0.0124377909553404,-0.0725217245316997,"LC v. H - CV","ACAP3"
"148",0.0544522613393233,0.74511796817727,0.027168921087316,"LC v. H - CV","ACAT1"
"149",-0.0743702303811442,0.539556228594097,-0.0258155556870237,"LC v. H - CV","ACAT2"
"150",-0.576076259758135,5.171658018476e-05,-0.3499359869469,"LC v. H - CV","ACBD3-AS1"
"151",-0.576076259758135,5.171658018476e-05,-0.3499359869469,"LC v. H - CV","ACBD3"
"152",-0.694356861932886,3.64081790163068e-08,-0.153328552857707,"LC v. H - CV","ACBD4"
