"","tool","metric","score"
"242","cfDNA Fragmentome LCr Score","fnr",0.24761077324066
"243","cfDNA Fragmentome LCr Score","fnr",0.226335877862595
"244","cfDNA Fragmentome LCr Score","fnr",0.216122650840752
"245","cfDNA Fragmentome LCr Score","fnr",0.191202872531418
"246","cfDNA Fragmentome LCr Score","fnr",0.222571942446043
"247","cfDNA Fragmentome LCr Score","fnr",0.271315028901734
"248","cfDNA Fragmentome LCr Score","fnr",0.255438859714929
"249","cfDNA Fragmentome LCr Score","fnr",0.209224916785544
"250","cfDNA Fragmentome LCr Score","fnr",0.239424703891709
"251","cfDNA Fragmentome LCr Score","fnr",0.272641509433962
"252","cfDNA Fragmentome LCr Score","fnr",0.185586434291098
"253","cfDNA Fragmentome LCr Score","fnr",0.229478292593944
"254","cfDNA Fragmentome LCr Score","fnr",0.278415841584158
"255","cfDNA Fragmentome LCr Score","fnr",0.26798825256975
"256","cfDNA Fragmentome LCr Score","fnr",0.233117483811286
"257","cfDNA Fragmentome LCr Score","fnr",0.203993055555556
"258","cfDNA Fragmentome LCr Score","fnr",0.264871906209292
"259","cfDNA Fragmentome LCr Score","fnr",0.255189255189255
"260","cfDNA Fragmentome LCr Score","fnr",0.198412698412698
"261","cfDNA Fragmentome LCr Score","fnr",0.193457943925234
"262","cfDNA Fragmentome LCr Score","fnr",0.24160447761194
"263","cfDNA Fragmentome LCr Score","fnr",0.196095444685466
"264","cfDNA Fragmentome LCr Score","fnr",0.207515657620042
"265","cfDNA Fragmentome LCr Score","fnr",0.28155737704918
"266","cfDNA Fragmentome LCr Score","fnr",0.19894787183166
"267","cfDNA Fragmentome LCr Score","fnr",0.208855472013367
"268","cfDNA Fragmentome LCr Score","fnr",0.21503416856492
"269","cfDNA Fragmentome LCr Score","fnr",0.209365325077399
"270","cfDNA Fragmentome LCr Score","fnr",0.249394673123487
"271","cfDNA Fragmentome LCr Score","fnr",0.212334113973458
"272","cfDNA Fragmentome LCr Score","fnr",0.265881513204854
"273","cfDNA Fragmentome LCr Score","fnr",0.190278824415976
"274","cfDNA Fragmentome LCr Score","fnr",0.173343044428259
"275","cfDNA Fragmentome LCr Score","fnr",0.200827205882353
"276","cfDNA Fragmentome LCr Score","fnr",0.224784988272088
"277","cfDNA Fragmentome LCr Score","fnr",0.228655185049469
"278","cfDNA Fragmentome LCr Score","fnr",0.285362853628536
"279","cfDNA Fragmentome LCr Score","fnr",0.24763619990995
"280","cfDNA Fragmentome LCr Score","fnr",0.230143355288648
"281","cfDNA Fragmentome LCr Score","fnr",0.180872348939576
"282","cfDNA Fragmentome LCr Score","fnr",0.272796352583587
"283","cfDNA Fragmentome LCr Score","fnr",0.224824355971897
"284","cfDNA Fragmentome LCr Score","fnr",0.205443371378402
"285","cfDNA Fragmentome LCr Score","fnr",0.205019441498763
"286","cfDNA Fragmentome LCr Score","fnr",0.227272727272727
"287","cfDNA Fragmentome LCr Score","fnr",0.214855224506924
"288","cfDNA Fragmentome LCr Score","fnr",0.254901960784314
"289","cfDNA Fragmentome LCr Score","fnr",0.179141104294479
"290","cfDNA Fragmentome LCr Score","fnr",0.29653248306098
"291","cfDNA Fragmentome LCr Score","fnr",0.177828054298643
"292","cfDNA Fragmentome LCr Score","fnr",0.197117257499026
"293","cfDNA Fragmentome LCr Score","fnr",0.202745995423341
"294","cfDNA Fragmentome LCr Score","fnr",0.264736658528078
"295","cfDNA Fragmentome LCr Score","fnr",0.248240088921823
"296","cfDNA Fragmentome LCr Score","fnr",0.2280630812778
"297","cfDNA Fragmentome LCr Score","fnr",0.207188160676533
"298","cfDNA Fragmentome LCr Score","fnr",0.277484787018256
"299","cfDNA Fragmentome LCr Score","fnr",0.239018087855297
"300","cfDNA Fragmentome LCr Score","fnr",0.250966744006187
"301","cfDNA Fragmentome LCr Score","fnr",0.242377460439985
"302","cfDNA Fragmentome LCr Score","fnr",0.2524
"303","cfDNA Fragmentome LCr Score","fnr",0.25447619047619
"304","cfDNA Fragmentome LCr Score","fnr",0.257894736842105
